raw_date,Day_of_Week,Browser,Device_Type,Country,Traffic_Source,Landing_Page,Visitors,New_Visitors,Returning_Visitors,Sessions,Page_Views,Bounce_Rate,Avg_Session_Duration_Sec,Conversions,Conversion_Rate,Revenue,Revenue_Per_Visitor,Date
30-09-2025,Tuesday  ,Chrome ,Mobile ,USA    ,Direct        ,/pricing      ,3142,1286,1856,3185,13707,0.6,183.3,488,0.2,150891.6,48,2025-09-30
01-17-2026,Saturday ,Safari ,Desktop,Germany,Direct        ,/landing-promo,3974,1838,2136,4099,6808,0.4,294.1,599,0.2,117429.7,29.5,2026-01-17
23-12-2025,Tuesday  ,Chrome ,Desktop,USA    ,Social Media  ,/contact      ,1586,1218,368,1818,7276,0.8,410.9,113,0.1,37332.3,23.5,2025-12-23
24-03-2026,Tuesday  ,Chrome ,Desktop,USA    ,Organic Search,/home         ,2224,1605,619,2339,5695,0.5,368.7,351,0.2,81885.1,36.8,2026-03-24
24-10-2025,Friday   ,Firefox,Tablet ,Canada ,Organic Search,/products     ,3174,2222,952,3575,6097,0.4,224.4,461,0.1,88651.1,27.9,2025-10-24
29-10-2025,Wednesday,Chrome ,Desktop,India  ,Paid Search   ,/contact      ,3501,2965,536,3606,9789,0.6,219.3,516,0.1,39924.2,11.4,2025-10-29
22-03-2026,Sunday   ,Safari ,Mobile ,USA    ,Email         ,/landing-promo,959,537,422,1030,1639,0.4,380.8,172,0.2,55861.7,58.2,2026-03-22
06-12-2025,Saturday ,Chrome ,Desktop,Japan  ,Direct        ,/pricing      ,1768,908,860,1978,3863,0.3,664.8,271,0.2,12067.7,6.8,2025-06-12
16-11-2025,Sunday   ,Safari ,Mobile ,USA    ,Paid Search   ,/pricing      ,515,387,128,572,947,0.5,228.8,85,0.2,16166.8,31.4,2025-11-16
06-12-2025,Saturday ,Safari ,Mobile ,USA    ,Organic Search,/landing-promo,563,351,212,589,740,0.4,285.4,76,0.1,13742.4,24.4,2025-06-12
