Date,Day_of_Week,Browser,Device_Type,Country,Traffic_Source,Landing_Page,Visitors,New_Visitors,Returning_Visitors,Sessions,Page_Views,Bounce_Rate,Avg_Session_Duration_Sec,Conversions,Conversion_Rate,Revenue,Revenue_Per_Visitor
2026-04-09,Thursday,Chrome,Desktop,Canada,Direct,/about,494,276,218,534,1762,0.4,243.8,76,0.2,14955.9,30.3
2026-04-09,Thursday,Chrome,Desktop,Canada,Direct,/blog,845,366,479,869,3305,0.4,635.4,123,0.1,17556.7,20.8
2026-04-09,Thursday,Chrome,Desktop,Canada,Direct,/home,2118,855,1263,2401,5792,0.3,646.6,304,0.1,43515.9,20.5
2026-04-09,Thursday,Chrome,Desktop,Canada,Direct,/landing-promo,4199,2665,1545,4340,7249,0.4,477.3,704,0.2,163398.24,38.95
2026-04-09,Thursday,Chrome,Desktop,Canada,Direct,/pricing,2446,982,1464,2670,5061,0.5,141.8,379,0.2,71691.1,29.3
2026-04-09,Thursday,Chrome,Desktop,Canada,Organic Search,/about,589,377,212,645,1004,0.4,506.9,86,0.1,22145.8,37.6
2026-04-09,Thursday,Chrome,Desktop,Canada,Organic Search,/blog,4976,3008,1968,5275,22196,0.6,392.8,773,0.2,176387.3,35.4
2026-04-09,Thursday,Chrome,Desktop,Canada,Organic Search,/home,3417,2582,835,3589,9818,0.328,331.0,529,0.186,49177.79,14.0
2026-04-09,Thursday,Chrome,Desktop,Canada,Organic Search,/pricing,2705,2016,689,3029,10399,0.6,354.4,377,0.1,80294.3,29.7
2026-04-09,Thursday,Chrome,Desktop,Canada,Organic Search,/products,3013,2028,985,3434,8195,0.5,169.2,462,0.2,77561.8,25.7
2026-04-09,Thursday,Chrome,Desktop,Canada,Paid Search,/about,4518,3630,888,5075,17931,0.4,586.7,763,0.2,104079.0,23.0
2026-04-09,Thursday,Chrome,Desktop,Canada,Paid Search,/contact,4365,3605,760,4573,8038,0.7,486.9,713,0.2,107313.4,24.6
2026-04-09,Thursday,Chrome,Desktop,Canada,Paid Search,/home,3206,2613,593,3443,10415,0.6,436.7,556,0.2,29494.3,9.2
2026-04-09,Thursday,Chrome,Desktop,Canada,Paid Search,/landing-promo,1118,849,269,1162,3172,0.4,531.8,173,0.2,34224.5,30.6
2026-04-09,Thursday,Chrome,Desktop,Canada,Referral,/about,2079,1663,416,2117,7459,0.6,363.4,262,0.1,40361.2,19.4
2026-04-09,Thursday,Chrome,Desktop,Canada,Referral,/contact,504,438,66,523,1976,0.4,120.6,65,0.1,14357.0,28.5
2026-04-09,Thursday,Chrome,Desktop,Canada,Referral,/products,2703,2256,447,2861,9894,0.4,374.6,340,0.1,42061.5,15.6
2026-04-09,Thursday,Chrome,Desktop,Canada,Social Media,/blog,1337,1041,296,1470,4826,0.4,212.2,100,0.1,17692.2,13.2
2026-04-09,Thursday,Chrome,Desktop,Canada,Social Media,/home,692,552,140,696,831,0.5,248.8,42,0.1,8847.5,12.8
2026-04-09,Thursday,Chrome,Desktop,Canada,Social Media,/pricing,4296,3854,442,4938,9643,0.5,213.9,351,0.1,22806.4,5.3
2026-04-09,Thursday,Chrome,Desktop,France,Direct,/blog,2794,1459,1335,2922,6490,0.4,729.4,405,0.1,42562.2,15.2
2026-04-09,Thursday,Chrome,Desktop,France,Direct,/contact,2768,1736,1032,3113,4541,0.5,616.8,408,0.1,77404.3,28.0
2026-04-09,Thursday,Chrome,Desktop,France,Direct,/home,845,487,358,847,1859,0.6,296.9,125,0.1,12350.7,14.6
2026-04-09,Thursday,Chrome,Desktop,France,Direct,/pricing,1720,957,762,1799,2826,0.5,612.1,238,0.1,44290.87,22.21
2026-04-09,Thursday,Chrome,Desktop,France,Direct,/products,4700,2199,2501,5377,12223,0.6,224.7,728,0.2,41975.7,8.9
2026-04-09,Thursday,Chrome,Desktop,France,Email,/landing-promo,1613,857,756,1631,4635,0.6,178.4,281,0.2,14629.5,9.1
2026-04-09,Thursday,Chrome,Desktop,France,Email,/pricing,2805,1137,1668,3154,9195,0.3,129.7,479,0.2,110354.9,39.3
2026-04-09,Thursday,Chrome,Desktop,France,Organic Search,/about,1605,1254,351,1658,2487,0.5,578.2,221,0.1,42571.1,26.5
2026-04-09,Thursday,Chrome,Desktop,France,Organic Search,/blog,2161,1312,849,2348,6550,0.6,439.6,267,0.1,51894.12,23.62
2026-04-09,Thursday,Chrome,Desktop,France,Organic Search,/contact,4306,2646,1660,4935,19061,0.5,321.0,604,0.1,116844.6,27.1
2026-04-09,Thursday,Chrome,Desktop,France,Organic Search,/landing-promo,2131,1464,667,2329,3673,0.6,164.9,264,0.1,45281.5,21.2
2026-04-09,Thursday,Chrome,Desktop,France,Organic Search,/pricing,2777,1755,1022,3175,5792,0.5,436.8,383,0.1,22590.3,8.1
2026-04-09,Thursday,Chrome,Desktop,France,Organic Search,/products,2538,1594,944,2594,6047,0.6,121.4,311,0.1,22764.1,9.0
2026-04-09,Thursday,Chrome,Desktop,France,Paid Search,/about,1957,1477,480,2128,4697,0.4,287.9,301,0.2,48735.5,24.9
2026-04-09,Thursday,Chrome,Desktop,France,Paid Search,/blog,3110,2480,630,3503,14468,0.5,590.6,481,0.2,78194.3,25.1
2026-04-09,Thursday,Chrome,Desktop,France,Paid Search,/contact,1991,1746,245,1994,4516,0.6,460.5,299,0.2,47711.0,24.0
2026-04-09,Thursday,Chrome,Desktop,France,Paid Search,/landing-promo,4445,3353,1092,4834,20230,0.4,549.1,750,0.2,168004.3,37.8
2026-04-09,Thursday,Chrome,Desktop,France,Paid Search,/pricing,3108,2766,342,3196,8468,0.7,412.6,519,0.2,18537.4,6.0
2026-04-09,Thursday,Chrome,Desktop,France,Paid Search,/products,2622,2269,353,2755,4870,0.6,525.9,390,0.1,68709.6,26.2
2026-04-09,Thursday,Chrome,Desktop,France,Referral,/contact,617,511,106,621,1870,0.6,237.4,72,0.1,16232.0,26.3
2026-04-09,Thursday,Chrome,Desktop,France,Referral,/landing-promo,2755,2183,572,2819,12074,0.6,290.3,357,0.1,54938.5,19.9
2026-04-09,Thursday,Chrome,Desktop,France,Referral,/pricing,458,360,98,521,2138,0.5,199.2,54,0.1,10932.9,23.9
2026-04-09,Thursday,Chrome,Desktop,France,Social Media,/blog,1523,1163,360,1629,7092,0.8,198.6,84,0.1,8246.2,5.4
2026-04-09,Thursday,Chrome,Desktop,France,Social Media,/contact,4146,3654,492,4245,14474,0.5,384.0,293,0.1,32937.1,7.9
2026-04-09,Thursday,Chrome,Desktop,Germany,Direct,/about,4933,2463,2443,5060,15553,0.421,347.8,727,0.128,93739.26,17.2
2026-04-09,Thursday,Chrome,Desktop,Germany,Direct,/blog,3720,2001,1719,3885,14886,0.3,773.7,611,0.2,67341.7,18.1
2026-04-09,Thursday,Chrome,Desktop,Germany,Direct,/landing-promo,1217,507,710,1274,4557,0.6,406.0,189,0.2,43332.5,35.6
2026-04-09,Thursday,Chrome,Desktop,Germany,Direct,/pricing,3581,1459,2122,4113,7455,0.6,739.5,589,0.2,47996.9,13.4
2026-04-09,Thursday,Chrome,Desktop,Germany,Direct,/products,4865,2932,1933,4894,16293,0.6,626.1,750,0.2,137381.6,28.2
2026-04-09,Thursday,Chrome,Desktop,Germany,Email,/blog,1731,921,810,1888,7288,0.6,684.6,311,0.2,69714.4,40.3
2026-04-09,Thursday,Chrome,Desktop,Germany,Email,/landing-promo,1476,643,833,1538,4575,0.5,248.8,262,0.2,53657.2,36.4
2026-04-09,Thursday,Chrome,Desktop,Germany,Email,/pricing,3028,1591,1437,3376,6673,0.2,285.5,545,0.2,29689.8,9.8
2026-04-09,Thursday,Chrome,Desktop,Germany,Organic Search,/about,1597,1125,472,1601,3772,0.3,276.7,212,0.1,21955.8,13.7
2026-04-09,Thursday,Chrome,Desktop,Germany,Organic Search,/blog,4934,3811,1123,5341,13238,0.3,254.3,710,0.1,112463.9,22.8
