raw_date,Day_of_Week,Browser,Device_Type,Country,Traffic_Source,Landing_Page,Visitors,New_Visitors,Returning_Visitors,Sessions,Page_Views,Bounce_Rate,Avg_Session_Duration_Sec,Conversions,Conversion_Rate,Revenue,Revenue_Per_Visitor
30-09-2025,Tuesday,Chrome,Mobile,USA,Direct,/pricing,3142,1286,1856,3185,13707,0.6051,183.3,488,0.1554,150891.58,48.0241
01-17-2026,Saturday,Safari,Desktop,Germany,Direct,/landing-promo,3974,1838,2136,4099,6808,0.4398,294.1,599,0.1508,117429.68,29.5495
23-12-2025,Tuesday,Chrome,Desktop,USA,Social Media,/contact,1586,1218,368,1818,7276,0.7591,410.9,113,0.0713,37332.31,23.5387
24-03-2026,Tuesday,Chrome,Desktop,USA,Organic Search,/home,2224,1605,619,2339,5695,0.5437,368.7,351,0.1581,81885.12,36.8188
24-10-2025,Friday,Firefox,Tablet,Canada,Organic Search,/products,3174,2222,952,3575,6097,0.4364,224.4,461,0.1453,88651.1,27.9304
29-10-2025,Wednesday,Chrome,Desktop,India,Paid Search,/contact,3501,2965,536,3606,9789,0.584,219.3,516,0.1474,39924.2,11.4037
22-03-2026,Sunday,Safari,Mobile,USA,Email,/landing-promo,959,537,422,1030,1639,0.3748,380.8,172,0.18,55861.65,58.2499
06-12-2025,Saturday,Chrome,Desktop,Japan,Direct,/pricing,1768,908,860,1978,3863,0.3426,664.8,271,0.1538,12067.66,6.8256
17-10-2025,Friday,Safari,Desktop,Japan,Paid Search,/contact,3684,2886,798,4216,11850,2.035,576.7,638,0.1732,84214.5,22.8595
16-11-2025,Sunday,Safari,Mobile,USA,Paid Search,/pricing,515,387,128,572,947,0.496,228.8,85,0.1667,16166.75,31.3917
06-12-2025,Saturday,Safari,Mobile,USA,Organic Search,/landing-promo,563,351,212,589,740,0.4176,285.4,76,0.1363,13742.39,24.4092
19-03-2026,Thursday,Chrome,Desktop,UK,Social Media,/pricing,1391,1049,342,1595,5506,0.5947,404.7,84,0.0611,16108.9,11.5808
07-10-2025,Tuesday,Firefox,Mobile,USA,Referral,/products,3739,3350,389,3958,9893,0.4069,212.5,532,0.1423,160382.44,42.8945
26-01-2026,Monday,Chrome,Mobile,Germany,Social Media,/about,342,302,40,381,991,0.6423,85.8,19,0.0583,3013.37,8.811
04-02-2026,Wednesday,Safari,Mobile,France,Organic Search,/about,3141,2126,1015,3569,10857,0.7317,130.9,432,0.1378,46872.48,14.9228
22-03-2026,Sunday,Chrome,Desktop,Japan,Organic Search,/products,2230,1500,730,2348,5495,0.5306,450.8,303,0.136,57677.57,25.8644
12-01-2026,Monday,Chrome,Mobile,France,Organic Search,/landing-promo,1730,1109,621,1826,6487,0.6141,79,209,0.1211,26837.84,15.5132
13-02-2026,Friday,Chrome,Mobile,India,,/about,2650,1814,836,3041,7862,0.6804,101.6,241,0.0911,14892.71,5.6199
17-01-2026,Saturday,Chrome,Desktop,France,Paid Search,/blog,3110,2480,630,3503,14468,0.4622,590.6,481,0.1548,78194.27,25.1429
29-12-2025,Monday,Chrome,Desktop,USA,Direct,/landing-promo,5261,2827,2434,5804,22961,0.42,528.9,924,0.1757,219516.81,41.7253
01-12-2025,Monday,Chrome,Desktop,Germany,Social Media,/landing-promo,1131,958,173,1165,5103,0.7205,181,69,0.0618,18772.96,16.5985
10-12-2025,Wednesday,Safari,Desktop,USA,Organic Search,/blog,3735,2842,893,3940,14752,0.4202,393.7,601,0.1611,123344.34,33.0239
05-10-2025,Sunday,Chrome,Desktop,USA,Organic Search,/about,2454,1816,638,2727,4556,0.5592,455.3,363,0.1482,101820.76,41.4918
27-01-2026,Tuesday,Chrome,Mobile,India,Organic Search,/blog,4418,3083,1335,4730,7420,0.458,242.2,485,0.11,34291.65,7.7618
28-02-2026,Saturday,Chrome,Mobile,UK,Organic Search,/about,2249,1525,724,2530,4723,0.5771,237.4,270,0.1203,28459.18,12.6541
08-12-2025,Monday,Chrome,Mobile,USA,Organic Search,/pricing,3746,2895,851,4069,16050,0.7036,124.3,577,0.1542,186766.44,49.8576
26-12-2025,Friday,Chrome,Desktop,UK,Paid Search,/products,5443,4721,722,5523,17705,0.5613,126.7,891,0.1638,223315.22,41.028
11-01-2026,Sunday,Chrome,Desktop,UK,Organic Search,/about,1499,1081,418,1631,5520,0.4923,400.9,224,0.1496,13452.93,8.9746
09-11-2025,Sunday,Chrome,Tablet,Canada,Direct,/pricing,433,232,201,489,1187,0.3179,232.5,59,0.1368,7208.25,16.6472
21-01-2026,Wednesday,Safari,Desktop,India,Organic Search,/pricing,3483,2346,1137,3996,10577,0.6173,254.2,434,0.1247,24441.38,7.0173
27-11-2025,Thursday,Chrome,Desktop,India,Organic Search,/about,1301,920,381,1329,3360,0.3887,374,153,0.118,11116.26,8.5444
14-01-2026,Wednesday,Safari,Desktop,USA,Organic Search,/contact,3740,2263,1477,3823,10516,0.2722,465.5,613,0.1641,56471.93,15.0994
05-10-2025,Sunday,Safari,Tablet,CAN,Paid Search,/home,3962,2987,975,4155,10962,0.7377,328.4,614,0.1552,37811.99,9.5437
23-11-2025,Sunday,Safari,Mobile,USA,Organic Search,/landing-promo,639,502,137,734,2911,0.512,119.1,84,0.132,14794.6,23.1527
21-10-2025,Tuesday,Chrome,Mobile,India,Direct,/landing-promo,1709,1026,683,1864,5400,0.3791,262.7,178,0.1043,7689.34,4.4993
09-01-2026,Friday,Chrome,Desktop,USA,Social Media,/contact,1667,1331,336,1809,3201,0.6589,394.9,146,0.0877,19156.02,11.4913
10-01-2026,Saturday,Chrome,Desktop,India,Organic Search,/about,1429,927,502,1474,2154,0.5803,513.7,160,0.1122,5784.04,4.0476
06-02-2026,Friday,Safari,Desktop,Japan,Referral,/about,2570,2007,563,2716,3231,0.3652,133.8,351,0.1366,40538.2,15.7736
19-03-2026,Thursday,Chrome,Mobile,India,Social Media,/landing-promo,3411,2819,592,3586,9093,0.8131,144.4,120,0.0353,10577.73,3.1011
19-11-2025,Wednesday,Chrome,Mobile,Japan,Social Media,/home,4212,3238,974,4332,16041,0.5411,153.5,268,0.0638,49157.01,11.6707
03-10-2025,Friday,Chrome,Mobile,India,Organic Search,/pricing,4048,2431,1617,4102,18107,0.4134,138.5,443,0.1096,43836.4,10.8292
12-03-2026,Thursday,Safari,Mobile,Japan,Email,/products,1679,1053,626,1721,6253,0.4219,134.8,281,0.1674,18529.52,11.036
15-01-2026,Thursday,Chrome,tab,France,Direct,/home,1638,706,932,1742,6366,0.5974,519.8,198,0.1211,19392.33,11.839
07-01-2026,Wednesday,Safari,Mobile,Germany,Organic Search,/about,2294,1508,786,2546,6840,0.4885,101.2,318,0.1388,34417.93,15.0035
17-12-2025,Wednesday,Chrome,Desktop,USA,Organic Search,/pricing,4394,2982,1412,4505,8810,0.6357,244.5,668,0.1521,75862.21,17.265
07-12-2025,Sunday,Safari,Tablet,USA,Social Media,/about,2209,1864,345,2293,5750,0.7515,123.1,176,0.0798,42754.95,19.3549
16-11-2025,Sunday,Chrome,Desktop,UK,Social Media,/products,1031,884,147,1143,3034,0.7506,293.1,63,0.062,5476.84,5.3122
12-10-2025,Sunday,Chrome,Mobile,USA,Organic Search,/about,2077,1530,547,2268,3944,0.3485,261.3,299,0.1442,71989.09,34.6601
25-12-2025,Thursday,Chrome,Desktop,IND,Paid Search,/products,2387,2116,271,2415,5453,0.4245,217.6,298,0.1249,26986.9,11.3058
31-10-2025,Friday,Chrome,Mobile,India,Organic Search,/contact,1679,1288,391,1928,2169,0.6932,137.3,158,0.0946,3811.6,2.2702
28-01-2026,Wednesday,Chrome,Desktop,India,Paid Search,/products,1504,1242,262,1532,3553,0.637,289.3,194,0.1296,14572.11,9.6889
09-02-2026,Monday,,Desktop,USA,Referral,/home,2687,2073,614,2732,12783,0.4403,592,378,0.1407,85347.74,31.7632
28-02-2026,Saturday,Chrome,desktop,India,Direct,/about,573,234,339,607,2607,0.4925,309.1,63,0.1111,2124.19,3.7071
11-11-2025,Tuesday,Edge,Desktop,UAE,Direct,/landing-promo,1190,603,587,1325,4123,0.3297,546.9,196,0.1652,30914.08,25.9782
26-11-2025,Wednesday,Chrome,Desktop,UK,Email,/products,2059,903,1156,2247,6329,0.5484,429.3,356,0.1731,60057.56,29.1683
06-01-2026,Tuesday,Safari,Desktop,France,Social Media,/pricing,3495,3027,468,3876,9276,0.6849,143.1,236,0.0677,36893.16,10.556
17-10-2025,Friday,Chrome,Mobile,Germany,Social Media,/landing-promo,3833,3351,482,3891,16015,0.5033,220.3,271,0.0709,42071.33,10.9761
27-11-2025,Thursday,Safari,Mobile,Canada,Direct,/pricing,1070,657,413,1075,2481,0.4327,248.6,156,0.1464,30953.73,28.9287
03-11-2025,Monday,Firefox,Mobile,USA,Paid Search,/contact,5658,5047,611,5802,7675,0.5231,202.6,979,0.1731,-1556.52,0
16-10-2025,Thursday,Chrome,Tablet,USA,Organic Search,/contact,3869,2902,967,4340,13435,0.6538,285.5,586,0.1515,0,0
28-09-2025,Sunday,Chrome,Mobile,USA,Organic Search,/home,2395,1826,569,2566,7437,0.4283,199.4,325,0.1358,81153.99,33.8848
26-10-2025,Sunday,Chrome,Mobile,France,Referral,/pricing,1984,1629,355,2132,5828,0.4123,231.8,229,0.1155,48449.14,24.4199
02-11-2025,Sunday,Firefox,Desktop,USA,Paid Search,/products,2283,1724,559,2336,6149,0.399,569.4,399,0.1748,45786.67,20.0555
11-03-2026,Wednesday,Chrome,Mobile,USA,Organic Search,/landing-promo,3686,2490,1196,3911,8868,0.5843,293.2,527,0.1432,0,0
17-02-2026,Tuesday,Safari,Desktop,USA,Direct,/home,3698,1733,1965,3704,15936,0.3955,634.3,633,0.1712,76148.21,20.5917
01-10-2025,Wednesday,Chrome,Mobile,India,Organic Search,/contact,1980,1315,665,2166,3662,0.4391,298,204,0.1032,11264.28,5.689
22-03-2026,Sunday,Safari,Mobile,India,Email,/products,330,168,162,335,794,0.3173,285.2,45,0.1388,857.84,2.5995
01-10-2025,Wednesday,Chrome,Mobile,UK,Organic Search,/pricing,4299,2822,1477,4328,12620,0.3157,110.5,625,0.1456,154530,35.9456
18-10-2025,Saturday,Chrome,Mobile,USA,Organic Search,/home,362,249,113,369,665,0.5956,177.8,51,0.1411,6438.65,17.7863
04-10-2025,Saturday,Chrome,Desktop,India,Email,/blog,1175,493,682,1301,2435,0.4676,388.7,166,0.1414,10939.36,9.3101
02-10-2025,Thursday,Firefox,Desktop,UAE,Organic Search,/contact,1300,1030,270,1453,2008,0.2709,316.3,190,0.1463,43649.6,33.5766
29-11-2025,Saturday,Chrome,Desktop,France,Direct,/pricing,2422,1355,1067,2509,3912,0.5231,700.9,331,0.137,69464.78,28.6808
26-02-2026,Thursday,Firefox,Mobile,Canada,Direct,/home,5322,2203,3119,5829,14291,0.5182,74.4,749,0.1409,75245.47,14.1386
30-09-2025,Tuesday,Safari,Mobile,Germany,Direct,/home,3486,1828,1658,3874,9516,0.3567,358.3,542,0.1556,135667.83,38.9179
30-11-2025,Sunday,Chrome,Desktop,France,Paid Search,/products,2622,2269,353,2755,4870,0.6032,525.9,390,0.1489,68709.61,26.205
14-03-2026,Saturday,Chrome,Desktop,USA,Organic Search,/landing-promo,2499,1927,572,2676,9685,0.2902,307.1,355,0.1424,48335.82,19.3421
30-10-2025,Thursday,Chrome,Desktop,USA,Paid Search,/landing-promo,1735,1533,202,1936,2567,0.6329,140.4,305,0.1759,18909.63,10.8989
15-01-2026,Thursday,Firefox,Mobile,USA,Direct,/products,1960,914,1046,2224,245,0.4393,387,294,0.1501,51560.6,26.3064
10-11-2025,Monday,Chrome,Desktop,IND,Direct,/products,3059,1463,1596,3233,13564,0.5811,754,401,0.1313,10163.47,3.3225
11-10-2025,Saturday,Chrome,Mobile,USA,Social Media,/landing-promo,2426,1963,463,2682,10871,0.6968,143.4,183,0.0755,22054.4,9.0908
02-11-2025,Sunday,Chrome,Mobile,Canada,Paid Search,/pricing,3634,3212,422,3645,13504,0.6148,206.9,579,0.1595,96353.89,26.5146
05-10-2025,Sunday,Safari,Desktop,France,Organic Search,/about,1750,1385,365,1976,4132,0.6316,317,230,0.1318,36680.52,20.9603
12-02-2026,Thursday,Chrome,Mobile,USA,Organic Search,/contact,1714,1148,566,1718,5073,0.6938,106.9,223,0.1303,72911.6,42.5389
06-12-2025,Saturday,Chrome,Desktop,Germany,Organic Search,/landing-promo,2149,1482,667,2366,4390,0.5864,461.6,314,0.1465,73472.68,34.1892
07-01-2026,Wednesday,Firefox,Mobile,Canada,Social Media,/products,-466,2404,330,3112,11487,0.6154,51.4,145,0.0531,38880.85,14.2212
21-02-2026,Saturday,Chrome,Desktop,,Direct,/about,3261,1596,1665,3652,13503,0.2854,285,448,0.1375,13466.43,4.1295
06-01-2026,Tuesday,Chrome,Mobile,Germany,Organic Search,/products,4195,2645,1550,4385,10225,0.5502,93.4,577,0.1377,109823.72,26.1797
19-01-2026,Monday,Firefox,Desktop,USA,Organic Search,/contact,2452,1961,491,2458,9803,0.4591,433.4,345,0.1408,31080.21,12.6755
27-11-2025,Thursday,Chrome,Desktop,FRANCE,Paid Search,/landing-promo,2093,1780,313,2274,6085,0.6269,579.4,328,0.1571,23024.34,11.0006
04-12-2025,Thursday,Firefox,Mobile,USA,Organic Search,/home,5009,3970,1039,5619,17400,0.57,99.3,727,0.1452,151895.05,30.3244
17-01-2026,Saturday,Chrome,Desktop,Japan,Organic Search,/products,1712,1301,411,1903,4486,0.6204,197,238,0.1396,21106.04,12.3283
16-02-2026,Monday,Safari,Mobile,UAE,Organic Search,/blog,2360,1465,895,2691,4320,0.6847,119.7,316,0.1341,34797.83,14.7448
27-02-2026,Friday,Chrome,Desktop,Japan,Paid Search,/blog,3864,3312,552,4382,6911,0.6296,450.6,647,0.1677,111021.29,28.7322
01-03-2026,Sunday,Safari,Desktop,Japan,Social Media,/blog,2891,2314,577,2970,7777,0.3692,360.2,227,0.0788,11158.27,3.8597
23-11-2025,Sunday,Firefox,Desktop,India,Referral,/about,1784,1458,326,1845,3400,0.4779,238,194,0.1089,16762.86,9.3962
05-03-2026,Thursday,Edge,Mobile,USA,Paid Search,/home,1716,1415,301,1829,3237,0.5582,97,278,0.1622,84059.54,48.9857
25-12-2025,Thursday,Safari,Mobile,Japan,Organic Search,/pricing,2046,1255,791,2308,3812,0.3503,105.2,272,0.133,48861.07,23.8813
14-12-2025,Sunday,Chrome,Desktop,UAE,Direct,/landing-promo,3017,1929,1088,3219,10544,0.3888,568,526,0.1744,43051.14,14.2695
09-01-2026,Friday,Chrome,Mobile,Germany,Referral,/about,3145,2404,741,3423,11408,0.6366,153,386,0.123,54378.55,17.2905
28-01-2026,Wednesday,Chrome,Mobile,India,Email,/home,1409,830,579,1612,6444,0.3369,210.2,200,0.1421,20385.88,14.4683
20-10-2025,Monday,Chrome,Desktop,Canada,Organic Search,/products,3687,2430,1257,3835,10867,0.5255,284.3,561,0.1524,32216.86,8.738
29-01-2026,Thursday,Chrome,Desktop,UK,Social Media,/products,373,299,74,403,485,0.5546,319.1,25,0.068,6333.82,16.9808
02-01-2026,Friday,Chrome,Desktop,UAE,Organic Search,/landing-promo,0,2171,1233,3582,16272,0.4122,499.7,560,0.1647,0,0
01-02-2026,Sunday,Chrome,Desktop,India,Organic Search,/contact,2050,1237,813,2234,2924,0.3213,374.7,221,0.1082,20059.34,9.785
20-03-2026,Friday,Safari,Mobile,USA,direct,/products,4176,1829,2347,4601,8083,0.3634,258.2,689,0.1651,45983.52,11.0114
05-11-2025,Wednesday,Safari,Desktop,Germany,Social Media,/about,4015,3262,753,4444,401,0.736,245,333,0.0831,70328.73,17.5165
20-01-2026,Tuesday,Chrome,Desktop,Japan,Organic Search,/landing-promo,3183,1915,1268,3630,14344,0.5471,559.3,482,0.1517,73736.54,23.1657
03-11-2025,Monday,Firefox,Desktop,USA,Social Media,/blog,3764,2935,829,3849,12659,0.704,293.3,328,0.0873,102533.65,27.2406
23-01-2026,Friday,Firefox,Mobile,Japan,Organic Search,/products,4905,3578,1327,5153,12976,0.4132,158,668,0.1363,65711.38,13.3968
08-12-2025,Monday,,Desktop,Germany,Direct,/contact,906,487,419,995,2224,0.5695,576.5,135,0.1494,31815.56,35.1165
17-03-2026,Tuesday,Chrome,Mobile,Japan,Direct,/home,1131,564,567,1190,3292,0.463,309.9,149,0.1325,32197.09,28.4678
19-10-2025,Sunday,Chrome,Desktop,Canada,Direct,/home,672,402,270,693,2329,0.5042,671.5,105,0.1566,21807.89,32.4522
12-11-2025,Wednesday,Chrome,Tablet,Germany,Organic Search,/pricing,1593,1199,394,1708,6348,0.6017,220.1,200,0.1258,-2083.64,31.1712
03-11-2025,Monday,Edge,Tablet,USA,Direct,/pricing,2424,1322,1102,2534,3274,0.6253,345.3,379,0.1565,70830.83,29.2206
28-02-2026,Saturday,Chrome,Mobile,France,Direct,/about,1561,813,748,1612,7317,0.3061,305.7,190,0.1222,37522.19,24.0373
09-01-2026,Friday,Chrome,Desktop,France,Organic Search,/blog,722,447,275,807,3312,0.6003,164.6,89,0.1238,16246.15,22.5016
23-01-2026,Friday,Edge,Desktop,India,Paid Search,/products,1581,1275,306,1776,5166,0.7177,140,206,0.1307,19492.77,12.3294
17-01-2026,Saturday,Safari,Desktop,Canada,Organic Search,/contact,2730,2159,571,3124,3431,0.5519,550.7,401,0.1469,18987.23,6.955
19-12-2025,Friday,Safari,Desktop,India,Paid Search,/landing-promo,5164,4632,532,5227,21018,0.4712,534.3,688,0.1334,73900.35,14.3107
04-11-2025,Tuesday,Chrome,Desktop,India,Direct,/products,2388,970,1418,2477,10565,0.3826,128.3,296,0.1243,28927.02,12.1135
10-03-2026,Tuesday,Safari,Desktop,Japan,Organic Search,/blog,3291,2183,1108,3715,5512,0.4874,295.4,511,0.1553,82672.51,25.1208
16-12-2025,Tuesday,Chrome,Mobile,UAE,Paid Search,/products,1277,1010,267,1358,2192,0.5843,147.6,194,0.1527,8676.77,6.7947
02-03-2026,Monday,Safari,Mobile,France,Direct,/products,3494,1674,1820,3820,7851,0.6481,290.9,470,0.1348,77641.29,22.2213
23-01-2026,Friday,Edge,DESKTOP,India,Social Media,/blog,904,759,145,994,3687,0.5239,196.8,36,0.0408,3781.69,4.1833
15-02-2026,Sunday,Safari,Mobile,USA,Direct,/products,2498,1392,1106,2623,9961,0.3602,376.1,366,0.1467,49858.86,19.9595
05-01-2026,Monday,Chrome,Desktop,India,Paid Search,/landing-promo,1720,1409,311,1875,5282,0.4189,309.7,222,0.1292,25145.04,14.6192
09-02-2026,Monday,Chrome,Desktop,UK,Organic Search,/blog,3765,2908,857,4116,14080,0.3719,217.7,600,0.1595,116124.31,30.8431
20-03-2026,Friday,Chrome,Desktop,UK,Organic Search,/pricing,2771,1812,959,2805,6140,0.4316,416.5,370,0.1337,24364.96,8.7928
26-01-2026,Monday,Safari,Desktop,Germany,Organic Search,/about,777,499,278,826,2752,0.5246,293.9,109,0.1408,11683.7,15.0369
27-10-2025,Monday,Edge,Mobile,France,Direct,/pricing,4364,2120,2244,4370,18711,0.3974,369.9,629,0.1443,-2661.26,25.0212
30-09-2025,Tuesday,Safari,Mobile,USA,Social Media,/about,667,585,82,765,2222,0.4605,160,41,0.0627,6303.86,9.4511
03-01-2026,Saturday,Safari,Desktop,USA,Organic Search,/products,3424,2419,1005,3872,5283,0.6371,199.6,550,0.1609,81554.62,23.8185
20-03-2026,Friday,Chrome,Desktop,France,Paid Search,/about,1957,1477,480,2128,4697,0.3866,287.9,301,0.154,48735.46,24.9031
18-01-2026,Sunday,Chrome,Desktop,India,Paid Search,/products,2068,1609,459,2298,9274,0.4412,497.4,276,0.1339,24345.18,11.7723
18-12-2025,Thursday,Safari,Desktop,India,Organic Search,/blog,3809,2317,1492,4277,16883,0.4398,546.9,438,0.1151,35275.46,9.2611
27-01-2026,Tuesday,Chrome,Desktop,Canada,Referral,/products,2703,2256,447,2861,9894,0.3551,374.6,340,0.1258,42061.47,15.561
20-10-2025,Monday,Chrome,Desktop,Canada,Paid Search,/about,4518,3630,888,5075,17931,0.3595,586.7,763,0.169,104079.04,23.0365
15-12-2025,Monday,Chrome,Desktop,India,Direct,/landing-promo,876,375,501,926,1155,0.6061,287.5,106,0.1211,7345.14,8.3849
15-01-2026,Thursday,Chrome,Desktop,UK,Paid Search,/landing-promo,5348,4275,1073,5598,18283,0.657,462.2,912,0.1707,194100.12,36.294
21-10-2025,Tuesday,Safari,Desktop,France,Referral,,669,601,68,697,1006,0.6218,508,86,0.129,15618.15,23.3455
11-12-2025,Thursday,Chrome,Desktop,USA,Social Media,/pricing,3877,3273,604,4031,17142,0.6167,247.9,339,0.0876,21985.03,5.6706
18-10-2025,Saturday,Chrome,Desktop,USA,Organic Search,/home,1214,756,458,1249,1987,0.6079,174.6,181,0.1499,31584.89,26.0172
26-12-2025,Friday,Firefox,Mobile,USA,Paid Search,/about,4665,3795,870,5350,16637,0.5503,201.2,756,0.1621,81038.6,17.3716
28-02-2026,Saturday,Safari,Mobile,UAE,Direct,/products,1225,550,675,1323,4799,0.3977,236,183,0.1499,13664.75,11.1549
17-01-2026,Saturday,Chrome,Tablet,India,Organic Search,/landing-promo,3261,2468,793,3468,10672,0.5206,182,380,0.1166,34925.02,10.7099
18-03-2026,Wednesday,Chrome,Desktop,India,Organic Search,/pricing,2752,1980,772,2944,9392,0.3037,414.2,293,0.1065,25946.77,9.4283
07-01-2026,Wednesday,Chrome,Desktop,Germany,Direct,/about,2885,1202,1683,3006,6846,0.5443,360.9,415,0.144,35768.96,12.3983
20-02-2026,Friday,,Desktop,India,Referral,/pricing,2772,2103,669,3176,5801,0.5515,539.8,265,0.0958,23537.88,8.4913
15-03-2026,Sunday,Firefox,MOBILE,Japan,Organic Search,/products,1646,1313,333,1672,2960,0.453,129.6,200,0.1219,33359.55,20.267
18-01-2026,Sunday,Safari,Mobile,India,Direct,/home,3101,1741,1360,3189,8666,0.3514,62.1,387,0.1249,33039.37,10.6544
27-10-2025,Monday,Chrome,Mobile,UAE,Direct,/pricing,5153,2076,3077,5456,18369,0.5383,282.3,796,0.1545,71906.86,13.9544
01-03-2026,Sunday,Firefox,Mobile,UK,Paid Search,/pricing,2384,1975,409,2497,4936,0.591,132.1,355,0.1493,103270.8,43.3183
03-03-2026,Tuesday,,Mobile,Canada,Organic Search,/products,1106,697,409,1255,3127,0.4824,218.9,139,0.1264,8390.8,7.5866
22-10-2025,Wednesday,Safari,Desktop,France,Direct,/products,5084,2292,2792,5586,20199,0.3406,247.9,781,0.1537,85602.74,16.8377
26-11-2025,Wednesday,Edge,Desktop,UAE,Email,/landing-promo,380,226,154,392,546,0.2539,330.7,68,0.18,16681.35,43.8983
09-02-2026,Monday,Chrome,Tablet,USA,Direct,/contact,5360,2964,2396,5406,18953,0.5224,215.2,809,0.151,236025.34,44.0346
20-10-2025,Monday,Chrome,Desktop,India,Direct,/contact,5259,2971,2288,6040,9986,0.5329,351.9,672,0.1278,18428.28,3.5041
09-12-2025,Tuesday,Chrome,Desktop,Germany,Organic Search,/blog,5060,3277,1783,5413,22153,0.5811,466.8,740,0.1464,68845.04,13.6057
09-11-2025,Sunday,Chrome,Tablet,USA,Paid Search,/blog,666,553,113,718,1323,0.3577,351.5,108,0.1624,7354.03,11.0421
22-03-2026,Sunday,Firefox,Tablet,USA,Organic Search,/about,3098,2045,1053,3540,9026,0.4209,243.3,482,0.1558,120518.69,38.9021
04-10-2025,Saturday,Edge,Desktop,UK,Social Media,/contact,2072,1864,208,2329,5411,0.5275,360.2,138,0.0668,24810.39,11.9741
15-11-2025,Saturday,Safari,Mobile,USA,Organic Search,/contact,2331,1730,601,2451,7226,0.4913,277.2,314,0.135,26865.01,11.5251
15-01-2026,Thursday,Safari,Mobile,India,Social Media,/blog,4396,3771,625,4830,13837,0.4386,176.5,155,0.0353,14270.82,3.2463
24-01-2026,Saturday,Chrome,Desktop,India,Email,/pricing,1948,1113,835,2222,2748,0.3106,522.8,275,0.1413,22302.35,11.4488
02-03-2026,Monday,Safari,Desktop,France,Organic Search,/home,2736,2077,659,2815,9475,0.294,528.4,344,0.126,46303.92,16.9239
10-03-2026,Tuesday,Safari,Tablet,India,Organic search,/home,3396,2649,747,3665,13251,0.6416,191.8,357,0.1053,21666.63,6.38
23-03-2026,Monday,Firefox,Desktop,UK,Organic Search,/contact,3372,2399,973,3718,15010,0.474,233.5,472,0.1402,134754.21,39.9627
04-03-2026,Wednesday,Chrome,Desktop,USA,social media,/about,1805,1487,318,1895,3537,0.6235,363.1,145,0.0806,48307.31,26.7631
08-11-2025,Saturday,Chrome,Tablet,UAE,Email,/contact,1335,713,622,1500,3044,0.5849,265.3,240,0.18,65286.06,48.9034
26-01-2026,Monday,Chrome,Desktop,UAE,Direct,/landing-promo,4006,1722,2284,4231,4916,0.3196,307.2,662,0.1653,154062.37,38.4579
13-03-2026,Friday,Chrome,Desktop,Germany,Organic Search,/landing-promo,1705,1214,491,1938,2682,1.8533,393.1,242,0.1422,45718.29,26.8142
24-11-2025,Monday,Firefox,Desktop,USA,Paid Search,/about,2233,1805,428,2325,9355,0.6202,184.4,388,0.1739,52994.34,23.7324
29-01-2026,Thursday,Chrome,Mobile,USA,Direct,/contact,5273,2631,2642,6041,14594,0.3881,94.8,791,0.1501,160622.46,30.4613
21-03-2026,Saturday,Safari,Tablet,UK,Social Media,/products,2628,1986,642,2713,12606,0.6258,155.7,149,0.0568,17419.71,6.6285
04-01-2026,Sunday,Chrome,Desktop,USA,Referral,/landing-promo,1644,1445,199,1714,2787,0.5819,454.1,236,0.1441,11427.66,6.9511
25-01-2026,Sunday,Chrome,Mobile,India,Organic Search,/pricing,315,190,125,352,708,0.608,138.9,34,0.11,2893.19,9.1847
05-11-2025,Wednesday,Chrome,Tablet,USA,Organic Search,/contact,3107,2215,892,3531,9448,0.3225,132.2,460,0.1483,83523.2,26.8823
19-01-2026,Monday,Safari,Desktop,UK,Organic Search,/home,3323,2299,1024,3485,14280,0.4505,588,483,0.1454,134635.37,40.5162
11-11-2025,Tuesday,Chrome,Desktop,India,Organic Search,/pricing,5159,3244,1915,5562,14481,0.5837,508,597,0.1158,14063.15,2.7259
03-11-2025,Monday,Safari,Tablet,UK,Direct,/blog,5270,3002,2268,5848,18514,0.4981,412,772,0.1465,135952.16,25.7974
29-12-2025,Monday,Firefox,Mobile,USA,Referral,/landing-promo,1246,1012,234,1299,4804,0.687,224.1,174,0.14,,20.3166
29-11-2025,Saturday,Chrome,Desktop,India,Organic Search,/blog,369,287,82,405,444,0.5996,469.1,40,0.1106,2162.37,5.8601
05-11-2025,Wednesday,Safari,Desktop,UAE,Referral,/pricing,3378,2549,829,3406,4223,0.4123,544.7,501,0.1484,81049.7,23.9934
31-01-2026,Saturday,Chrome,Tablet,Germany,Organic Search,/blog,2809,2175,634,3032,9429,0.4139,314.1,368,0.1313,16168.5,5.756
11-02-2026,Wednesday,Chrome,Desktop,UK,Direct,/contact,696,322,374,792,934,0.352,443.4,97,0.1404,11402.32,16.3826
08-10-2025,Wednesday,Chrome,Mobile,Canada,Organic Search,/products,2319,1751,568,2609,4325,0.4193,141.1,283,0.1223,21395.34,9.2261
17-02-2026,Tuesday,Safari,Mobile,UAE,Direct,/products,694,375,319,731,2554,0.3688,212.4,101,0.1459,8559.93,12.3342
06-03-2026,Friday,Safari,Desktop,Germany,Organic Search,/blog,1974,1308,666,2103,5703,0.4631,402.1,292,0.1484,55589.13,28.1607
28-09-2025,Sunday,Chrome,Desktop,USA,Paid Search,/contact,2751,2410,341,2978,10828,0.5123,457.7,441,0.1606,115218.47,41.8824
